,address.id,street.address,street.address.written,buisiness.name,id.sexworkers,page.number,race.id,madame,page,ad.size,phone.,listed,ethnicities.mentioned,city,state
152,152,1308 Iberville Street,1308 Iberville,,76,9,white,,NA,,,,,New Orleans,Louisiana
153,153,1304 Iberville Street,1304 Iberville,,157,17,white,,NA,,,,,New Orleans,Louisiana
154,154,1309 Bienville Street,1309 Bienville,,14,5,white,,NA,,,,,New Orleans,Louisiana
155,155,1309 Iberville Street,1309 Iberville,,"112,336,190","13, 31, 19","white,white,white",,NA,,,,,New Orleans,Louisiana
156,156,1310 Bienville Street,1310 Bienville,,"194,273","19, 25","white,white",,NA,,,,,New Orleans,Louisiana
157,157,1310 Iberville Street,1310 Iberville,,"326,188,257,381","29, 19, 25, 35","white,white,white,white",,NA,,,,,New Orleans,Louisiana
158,158,1311 Iberville Street,1311 Iberville,,"245,146,246,260,380","23, 15, 23, 25, 35","white,white,white,white,white",,NA,,,,,New Orleans,Louisiana
159,159,1312 Iberville Street,1312 Iberville,,123,13,white,,NA,,,,,New Orleans,Louisiana
160,160,1312 Bienville Street,1312 Bienville,,"89,340","11, 31","white,white",,NA,,,,,New Orleans,Louisiana
161,161,1312 Conti Street,1312 Conti,,220,21,white,,NA,,,,,New Orleans,Louisiana
162,162,1312 Iberville Street,1312 Iberville,,258,25,white,,NA,,,,,New Orleans,Louisiana
163,163,1313 Bienville Street,1313 Bienville,,"56,164,196","9, 17, 19","white,white,white",,NA,,,,,New Orleans,Louisiana
164,164,1313 Iberville Street,1313 Iberville,,"26,301","5, 27","white,white",,NA,,,,,New Orleans,Louisiana
165,165,1314 Bienville Street,1314 Bienville,,"274,432","25, 43","white,colored",,NA,,,,,New Orleans,Louisiana
166,166,1314 Iberville Street,1314 Iberville,,104,13,white,,NA,,,,,New Orleans,Louisiana
167,167,1315 Bienville Street,1315 Bienville,,217,21,white,,NA,,,,,New Orleans,Louisiana
168,168,1315 Iberville Street,1315 Iberville,,113,13,white,,NA,,,,,New Orleans,Louisiana
169,169,1316 Iberville Street,1316 Iberville,,"59,311","9, 29","white,white",,NA,,,,,New Orleans,Louisiana
170,170,1319 Iberville Street,1319 Iberville,,"20,262","5, 25","white,white",,NA,,,,,New Orleans,Louisiana
171,171,1317 Iberville Street,1317 Iberville,,261,25,white,,NA,,,,,New Orleans,Louisiana
172,172,1305 Iberville Street,1305 Iberville,,28,7,white,,NA,,,,,New Orleans,Louisiana
173,173,1305 Bienville Street,1305 Bienville,,13,5,white,,NA,,,,,New Orleans,Louisiana
174,174,1320 Iberville Street,1320 Iberville,,25,5,white,,NA,,,,,New Orleans,Louisiana
175,175,1320 Bienville Street,1320 Bienville,,41,7,white,,NA,,,,,New Orleans,Louisiana
176,176,1321 Bienville Street,1321 Bienville,,511,51,colored,,NA,,,,,New Orleans,Louisiana
177,177,1321 Iberville Street,1321 Iberville,,27,7,white,,NA,,,,,New Orleans,Louisiana
178,178,1323 Bienville Street,1323 Bienville,,493,49,colored,,NA,,,,,New Orleans,Louisiana
179,179,1323 Iberville Street,1323 Iberville,,263,25,white,,NA,,,,,New Orleans,Louisiana
180,180,1325 Conti Street,1325 Conti,,451,45,colored,,NA,,,,,New Orleans,Louisiana
181,181,1400 Bienville Street,1400 Bienville,,614,59,colored,,NA,,,,,New Orleans,Louisiana
182,182,1402 Bienville Street,1402 Bienville,,412,43,colored,,NA,,,,,New Orleans,Louisiana
183,183,1402 Iberville Street,1402 Iberville,,"77,443,456,571","9, 45, 47, 55","white,colored,colored,colored",,NA,,,,,New Orleans,Louisiana
184,184,1403 Iberville Street,1403 Iberville,,"135,229","15, 23","white,white",,NA,,,,,New Orleans,Louisiana
185,185,1404 Bienville Street,1404 Bienville,,433,45,colored,,NA,,,,,New Orleans,Louisiana
186,186,1405 Iberville Street,1405 Iberville,,305,27,white,,NA,,,,,New Orleans,Louisiana
187,187,1405 Bienville Street,1405 Bienville,,346,31,white,,NA,,,,,New Orleans,Louisiana
188,188,1406 Iberville Street,1406 Iberville,,"264,371,227","25, 33, 21","white,white,white",,NA,,,,,New Orleans,Louisiana
189,189,1406 Bienville Street,1406 Bienville,,"513,538,512","51, 53, 51","colored,colored,colored",,NA,,,,,New Orleans,Louisiana
190,190,1408 Iberville Street,1408 Iberville,,"116,329","13, 29","white,white",,NA,,,,,New Orleans,Louisiana
191,191,1407 Iberville Street,1407 Iberville,,136,15,white,,NA,,,,,New Orleans,Louisiana
192,192,1408 St. Louis Street,1408 St. Louis,,523,51,colored,,NA,,,,,New Orleans,Louisiana
193,193,1409 Iberville Street,1409 Iberville,,"588,19","57, 5","colored,white",,NA,,,,,New Orleans,Louisiana
194,194,1410 Iberville Street,1410 Iberville,,"158,29","17, 7","white,white",,NA,,,,,New Orleans,Louisiana
195,195,1410 Bienville Street,1410 Bienville,,"308,447,458,514","27, 45, 47, 51","white,colored,colored,colored",,NA,,,,,New Orleans,Louisiana
196,196,1410 Conti Street,1410 Conti,,495,49,colored,,NA,,,,,New Orleans,Louisiana
197,197,1410 St. Louis Street,1410 St. Louis,,543,53,colored,,NA,,,,,New Orleans,Louisiana
198,198,1411 Bienville Street,1411 Bienville,,"296,625","27, 61","white,colored",,NA,,,,,New Orleans,Louisiana
199,199,1411 Iberville Street,1411 Iberville,,527,53,colored,,NA,,,,,New Orleans,Louisiana
200,200,1412 Bienville Street,1412 Bienville,,"604,467","59, 47","colored,colored",,NA,,,,,New Orleans,Louisiana
201,201,1416 St. Louis Street,1416 St. Louis,,466,47,colored,,NA,,,,,New Orleans,Louisiana
202,202,1412 Iberville Street,1412 Iberville,,30,7,white,,NA,,,,,New Orleans,Louisiana
203,203,1413 Bienville Street,1413 Bienville,,576,57,colored,,NA,,,,,New Orleans,Louisiana
204,204,1414 Iberville Street,1414 Iberville,,"534,115,216","53, 13, 21","colored,white,white",,NA,,,,,New Orleans,Louisiana
205,205,1415 Bienville Street,1415 Bienville,,483,49,colored,,NA,,,,,New Orleans,Louisiana
206,206,1415 Iberville Street,1415 Iberville,,"191,266","19, 25","white,white",,NA,,,,,New Orleans,Louisiana
207,207,1416 Bienville Street,1416 Bienville,,481,49,colored,,NA,,,,,New Orleans,Louisiana
208,208,1416 Iberville Street,1416 Iberville,,162,17,white,,NA,,,,,New Orleans,Louisiana
209,209,1417 Bienville Street,1417 Bienville,,516,51,colored,,NA,,,,,New Orleans,Louisiana
210,210,1417 Iberville Street,1417 Iberville,,117,13,white,,NA,,,,,New Orleans,Louisiana
211,211,1418 Bienville Street,1418 Bienville,,"557,556","55, 55","colored,colored",,NA,,,,,New Orleans,Louisiana
212,212,1418 Conti Street,1418 Conti,,"464,578","47, 57","colored,colored",,NA,,,,,New Orleans,Louisiana
213,213,1419 Iberville Street,1419 Iberville,,267,25,white,,NA,,,,,New Orleans,Louisiana
214,214,1420 Conti Street,1420 Conti,,"394,579","35, 57","colored,colored",,NA,,,,,New Orleans,Louisiana
215,215,1420 Iberville Street,1420 Iberville,,228,21,white,,NA,,,,,New Orleans,Louisiana
216,216,1420 St. Louis Street,1420 St. Louis,,"498,639","49, 61","colored,colored",,NA,,,,,New Orleans,Louisiana
217,217,1421 Iberville Street,1421 Iberville,,"31,78","7, 9","white,white",,NA,,,,,New Orleans,Louisiana
218,218,1422 Bienville Street,1422 Bienville,,"448,609","45, 59","colored,colored",,NA,,,,,New Orleans,Louisiana
219,219,1423 Bienville Street,1423 Bienville,,"599,600","59, 59","colored,colored",,NA,,,,,New Orleans,Louisiana
220,220,1423 Iberville Street,1423 Iberville,,9,5,white,,NA,,,,,New Orleans,Louisiana
221,221,1424 Bienville Street,1424 Bienville,,"397,396,459,624","35, 35, 47, 61","colored,colored,colored,colored",,NA,,,,,New Orleans,Louisiana
222,222,1424 Iberville Street,1424 Iberville,,"265,480","25, 49","white,colored",,NA,,,,,New Orleans,Louisiana
223,223,1425 Bienville Street,1425 Bienville,,494,49,colored,,NA,,,,,New Orleans,Louisiana
224,224,1426 Iberville Street,1426 Iberville,,"388,597,352","35, 59, 31","white,colored,white",,NA,,,,,New Orleans,Louisiana
225,225,1426 Bienville Street,1426 Bienville,,"345,482,515","31, 49, 51","white,colored,colored",,NA,,,,,New Orleans,Louisiana
226,226,1426 Conti Street,1426 Conti,,"465,540,566","47, 53, 55","colored,colored,colored",,NA,,,,,New Orleans,Louisiana
227,227,1426 St. Louis Street,1426 St. Louis,,436,45,colored,,NA,,,,,New Orleans,Louisiana
228,228,1427 Iberville Street,1427 Iberville,,"140,138,369","15, 15, 33","white,white,white",,NA,,,,,New Orleans,Louisiana
229,229,1428 Iberville Street,1428 Iberville,,425,43,colored,,NA,,,,,New Orleans,Louisiana
230,230,1429 Iberville Street,1429 Iberville,,492,49,colored,,NA,,,,,New Orleans,Louisiana
231,231,1430 St. Louis Street,1430 St. Louis,,637,61,colored,,NA,,,,,New Orleans,Louisiana
232,232,1431 Conti Street,1431 Conti,,542,53,colored,,NA,,,,,New Orleans,Louisiana
233,233,1433 Conti Street,1433 Conti,,541,53,colored,,NA,,,,,New Orleans,Louisiana
234,234,1433 Iberville Street,1433 Iberville,,177,17,white,,NA,,,,,New Orleans,Louisiana
235,235,1437 Iberville Street,1437 Iberville,,"139,178","15, 17","white,white",,NA,,,,,New Orleans,Louisiana
236,236,1425 Iberville Street,1425 Iberville,,"137,183","15, 19","white,white",,NA,,,,,New Orleans,Louisiana
237,237,1501 Conti Street,1501 Conti,,"413,580,629,632","43, 57, 61, 61","colored,colored,colored,colored",,NA,,,,,New Orleans,Louisiana
238,238,1503 Conti Street,1503 Conti,,"414,496","43, 49","colored,colored",,NA,,,,,New Orleans,Louisiana
239,239,1503 Iberville Street,1503 Iberville,,427,43,colored,,NA,,,,,New Orleans,Louisiana
240,240,1504 Bienville Street,1504 Bienville,,484,49,colored,,NA,,,,,New Orleans,Louisiana
241,241,1504 Conti Street,1504 Conti,,"361,416,628","33, 43, 61","white,colored,colored",,NA,,,,,New Orleans,Louisiana
242,242,1504 Iberville Street,1504 Iberville,,"410,457,572","43, 47, 55","colored,colored,colored",,NA,,,,,New Orleans,Louisiana
243,243,1505 Iberville Street,1505 Iberville,,598,59,colored,,NA,,,,,New Orleans,Louisiana
244,244,1506 Conti Street,1506 Conti,,435,45,colored,,NA,,,,,New Orleans,Louisiana
245,245,1506 St. Louis Street,1506 St. Louis,,528,53,colored,,NA,,,,,New Orleans,Louisiana
246,246,1507 Bienville Street,1507 Bienville,,15,5,white,,NA,,,,,New Orleans,Louisiana
247,247,1507 Iberville Street,1507 Iberville,,"411,444,549","43, 45, 53","colored,colored,colored",,NA,,,,,New Orleans,Louisiana
248,248,1508 Conti Street,1508 Conti,,83,11,white,,NA,,,,,New Orleans,Louisiana
249,249,1508 St. Louis Street,1508 St. Louis,,591,57,colored,,NA,,,,,New Orleans,Louisiana
250,250,1509 Bienville Street,1509 Bienville,,197,19,white,,NA,,,,,New Orleans,Louisiana
251,251,1509 Iberville Street,1509 Iberville,,574,57,colored,,NA,,,,,New Orleans,Louisiana
252,252,1510 Conti Street,1510 Conti,,253,23,white,,NA,,,,,New Orleans,Louisiana
253,253,1510 St. Louis Street,1510 St. Louis,,91,11,white,,NA,,,,,New Orleans,Louisiana
254,254,1511 Bienville Street,1511 Bienville,,485,49,colored,,NA,,,,,New Orleans,Louisiana
255,255,1511 Iberville Street,1511 Iberville,,429,43,colored,,NA,,,,,New Orleans,Louisiana
256,256,1512 St. Louis Street,1512 St. Louis,,"524,525","51, 51","colored,colored",,NA,,,,,New Orleans,Louisiana
257,257,1514 St. Louis Street,1514 St. Louis,,567,55,colored,,NA,,,,,New Orleans,Louisiana
258,258,1515 Bienville Street,1515 Bienville,,"461,610","47, 59","colored,colored",,NA,,,,,New Orleans,Louisiana
259,259,1516 Iberville Street,1516 Iberville,,"535,426","53, 43","colored,colored",,NA,,,,,New Orleans,Louisiana
260,260,1517 Bienville Street,1517 Bienville,,"518,559,560","51, 55, 55","colored,colored,colored",,NA,,,,,New Orleans,Louisiana
261,261,1518 Conti Street,1518 Conti,,521,51,colored,,NA,,,,,New Orleans,Louisiana
262,262,1518 Iberville Street,1518 Iberville,,548,53,colored,,NA,,,,,New Orleans,Louisiana
263,263,1518 St. Louis Street,1518 St. Louis,,529,53,colored,,NA,,,,,New Orleans,Louisiana
264,264,1519 Bienville Street,1519 Bienville,,"469,476","47, 47","colored,colored",,NA,,,,,New Orleans,Louisiana
265,265,1519 Iberville Street,1519 Iberville,,"550,551,613","55, 55, 59","colored,colored,colored",,NA,,,,,New Orleans,Louisiana
266,266,1520 Bienville Street,1520 Bienville,,517,51,colored,,NA,,,,,New Orleans,Louisiana
267,267,1520 Conti Street,1520 Conti,,298,27,white,,NA,,,,,New Orleans,Louisiana
268,268,1520 Iberville Street,1520 Iberville,,"536,573,621","53, 55, 61","colored,colored,colored",,NA,,,,,New Orleans,Louisiana
269,269,1521 Conti Street,1521 Conti,,121,13,white,,NA,,,,,New Orleans,Louisiana
270,270,1521 Iberville Street,1521 Iberville,,"552,608,622,623","55, 59, 61, 61","colored,colored,colored,colored",,NA,,,,,New Orleans,Louisiana
271,271,1522 Beinville Street,1522 Beinville,,"395,475,577,601","35, 47, 57, 59","colored,colored,colored,colored",,NA,,,,,New Orleans,Louisiana
272,272,1523 Bienville Street,1523 Bienville,,428,43,colored,,NA,,,,,New Orleans,Louisiana
273,273,1523 Conti Street,1523 Conti,,497,49,colored,,NA,,,,,New Orleans,Louisiana
274,274,1524 Bienville Street,1524 Bienville,,"450,602","45, 59","colored,colored",,NA,,,,,New Orleans,Louisiana
275,275,1524 Conti Street,1524 Conti,,"200,347","19, 31","white,white",,NA,,,,,New Orleans,Louisiana
276,276,1525 Bienville Street,1525 Bienville,,589,57,colored,,NA,,,,,New Orleans,Louisiana
277,277,1525 Conti Street,1525 Conti,,"611,612","59, 59","colored,colored",,NA,,,,,New Orleans,Louisiana
278,278,1526 Bienville Street,1526 Bienville,,"348,626","31, 61","white,colored",,NA,,,,,New Orleans,Louisiana
279,279,1526 Conti Street,1526 Conti,,"120,299","13, 27","white,white",,NA,,,,,New Orleans,Louisiana
280,280,1527 Bienville Street,1527 Bienville,,"470,590","47, 57","colored,colored",,NA,,,,,New Orleans,Louisiana
281,281,1528 Conti Street,1528 Conti,,"16,85,153,84,300","5, 11, 15, 11, 27","white,white,white,white,white",,NA,,,,,New Orleans,Louisiana
282,282,1529 Conti Street,1529 Conti,,"57,310","9, 29","white,white",,NA,,,,,New Orleans,Louisiana
283,283,1529 Iberville Street,1529 Iberville,,"553,473","55, 47","colored,colored",,NA,,,,,New Orleans,Louisiana
284,284,1530 Bienville Street,1530 Bienville,,"100,463,627","11, 45, 61","white,colored,colored",,NA,,,,,New Orleans,Louisiana
285,285,1530 Conti Street,1530 Conti,,102,11,white,,NA,,,,,New Orleans,Louisiana
286,286,1530 St. Louis Street,1530 St. Louis,,478,47,colored,,NA,,,,,New Orleans,Louisiana
287,287,1531 Iberville Street,1531 Iberville,,"430,507,554,575","43, 51, 55, 57","colored,colored,colored,colored",,NA,,,,,New Orleans,Louisiana
288,288,1533 Iberville Street,1533 Iberville,,"431,446,445,508,509,000","43, 45, 45, 51, 51, 59","colored,colored,colored,colored,colored,colored",,NA,,,,,New Orleans,Louisiana
289,289,1536 Iberville Street,1536 Iberville,,"141,179,230,231,247,000,000","15, 17, 23, 23, 23, 25, 29","white,white,white,white,white,white,white",,NA,,,,,New Orleans,Louisiana
290,290,1537 Iberville Street,1537 Iberville,,"180,249","17, 23","white,white",,NA,,,,,New Orleans,Louisiana
291,291,1538 Iberville Street,1538 Iberville,,"118,248,270,331","13, 23, 25, 31","white,white,white,white",,NA,,,,,New Orleans,Louisiana
292,292,1540 Bienville Street,1540 Bienville,,101,11,white,,NA,,,,,New Orleans,Louisiana
293,293,1540 Conti Street,1540 Conti,,"487,633","49, 61","colored,colored",,NA,,,,,New Orleans,Louisiana
294,294,1540 Iberville Street,1540 Iberville,,"192,306","19, 27","white,white",,NA,,,,,New Orleans,Louisiana
295,295,1540 St. Louis Street,1540 St. Louis,,210,21,white,,NA,,,,,New Orleans,Louisiana
296,296,1542 Conti Street,1542 Conti,,"254,255,634","23, 23, 61","white,white,colored",,NA,,,,,New Orleans,Louisiana
297,297,1544 Bienville Street,1544 Bienville,,462,47,colored,,NA,,,,,New Orleans,Louisiana
298,298,1544 St. Louis Street,1544 St. Louis,,437,45,colored,,NA,,,,,New Orleans,Louisiana
299,299,1518 Bienville Street,1518 Bienville,,449,45,colored,,NA,,,,,New Orleans,Louisiana
300,300,1528 Bienville Street,1528 Bienville,,"434,558","45, 55","colored,colored",,NA,,,,,New Orleans,Louisiana
301,301,1546 Conti Street,1546 Conti,,"488,635","49, 61","colored,colored",,NA,,,,,New Orleans,Louisiana
302,302,1547 Conti Street,1547 Conti,,"143,145","15, 15","white,white",,NA,,,,,New Orleans,Louisiana
303,303,1547 Iberville Street,1547 Iberville,,"218,219,251,333,10","21, 21, 23, 31, 5","white,white,white,white,white",,NA,,,,,New Orleans,Louisiana
304,304,1549 Conti Street,1549 Conti,,122,13,white,,NA,,,,,New Orleans,Louisiana
305,305,1549 Iberville Street,1549 Iberville,,"8,181,307,334,335","5, 19, 27, 31, 31","white,white,white,white,white",,NA,,,,,New Orleans,Louisiana
306,306,1550 Bienville Street,1550 Bienville,,"539,603","53, 59","colored,colored",,NA,,,,,New Orleans,Louisiana
307,307,1550 Conti Street,1550 Conti,,"90,103,201","11, 13, 19","white,white,white",,NA,,,,,New Orleans,Louisiana
308,308,1551 Bienville Street,1551 Bienville,,"477,520,563","47, 51, 55","colored,colored,colored",,NA,,,,,New Orleans,Louisiana
309,309,1552 Bienville Street,1552 Bienville,,561,55,colored,,NA,,,,,New Orleans,Louisiana
310,310,1552 Iberville Street,1552 Iberville,,537,53,colored,,NA,,,,,New Orleans,Louisiana
311,311,1554 Conti Street,1554 Conti,,"202,234","19, 23","white,white",,NA,,,,,New Orleans,Louisiana
312,312,1556 Bienville Street,1556 Bienville,,562,55,colored,,NA,,,,,New Orleans,Louisiana
313,313,1556 Conti Street,1556 Conti,,"17,58","5, 9","white,white",,NA,,,,,New Orleans,Louisiana
314,314,1556 St. Louis Street,1556 St. Louis,,640,61,colored,,NA,,,,,New Orleans,Louisiana
315,315,1557 Conti Street,1557 Conti,,"18,154,160","5, 15, 17","white,white,white",,NA,,,,,New Orleans,Louisiana
316,316,1558 Conti Street,1558 Conti,,522,51,colored,,NA,,,,,New Orleans,Louisiana
317,317,1559 Iberville Street,1559 Iberville,,"182,193,271","19, 19, 25","white,white,white",,NA,,,,,New Orleans,Louisiana
318,318,1563 Iberville Street,1563 Iberville,,"119,252","13, 23","white,white",,NA,,,,,New Orleans,Louisiana
319,319,1564 Bienville Street,1564 Bienville,,519,51,colored,,NA,,,,,New Orleans,Louisiana
320,320,1564 Conti Street,1564 Conti,,499,49,colored,,NA,,,,,New Orleans,Louisiana
321,321,1565 Conti Street,1565 Conti,,471,47,colored,,NA,,,,,New Orleans,Louisiana
322,322,1565 Iberville Street,1565 Iberville,,474,47,colored,,NA,,,,,New Orleans,Louisiana
323,323,1566 Conti Street,1566 Conti,,636,61,colored,,NA,,,,,New Orleans,Louisiana
324,324,1567 Conti Street,1567 Conti,,209,21,white,,NA,,,,,New Orleans,Louisiana
325,325,1567 Iberville Street,1567 Iberville,,"510,555","51, 55","colored,colored",,NA,,,,,New Orleans,Louisiana
326,326,1571 Conti Street,1571 Conti,,415,43,colored,,NA,,,,,New Orleans,Louisiana
327,327,1576 Iberville Street,1576 Iberville,,620,61,colored,,NA,,,,,New Orleans,Louisiana
328,328,311 N. Crozat Street,311 N. Franklin,,64,9,white,,NA,,,,,New Orleans,Louisiana
329,329,222 N. Marias Street,222 N. Marias,,290,27,white,,NA,,,,,New Orleans,Louisiana
330,330,314 N. Robertson,314 N. Robertson,,"442,531,568,586","45, 53, 55, 57","colored,colored,colored,colored",,NA,,,,,New Orleans,Louisiana
331,331,333 N. Basin Street,331-333 N. Basin,Home of All Nations,,,,Emma Johnson,82,1,Connection,checked,"spanish, parisian",New Orleans,Louisiana